Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PH,PD,PA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,VH,VA
Brazil,Serie A,2018,2018-04-14,20:00,Cruzeiro,Gremio,0,1,A,1.96,3.29,4.87,2.11,3.3,4.87,1.98,3.16,4.15,55000000.0,82200000.0
Brazil,Serie A,2018,2018-04-14,23:00,Vitoria,Flamengo RJ,2,2,D,3.56,3.41,2.22,3.75,3.42,2.24,3.4,3.31,2.14,22280000.0,88100000.0
Brazil,Serie A,2018,2018-04-15,01:00,Santos,Ceara,2,0,H,1.57,4.13,6.76,1.6,4.14,7.1,1.55,3.88,6.12,51100000.0,28550000.0
Brazil,Serie A,2018,2018-04-15,15:00,America MG,Sport Recife,3,0,H,1.98,3.35,4.51,2.05,3.42,4.51,1.96,3.27,4.01,21580000.0,21150000.0
Brazil,Serie A,2018,2018-04-15,20:00,Corinthians,Fluminense,2,1,H,1.67,3.68,6.55,1.68,3.74,7.0,1.62,3.55,6.03,56950000.0,30750000.0
Brazil,Serie A,2018,2018-04-15,20:00,Internacional,Bahia,2,0,H,1.74,3.53,6.01,1.81,3.75,6.01,1.74,3.42,5.05,52930000.0,28850000.0
Brazil,Serie A,2018,2018-04-15,20:00,Vasco,Atletico-MG,2,1,H,2.98,3.22,2.64,2.98,3.25,2.7,2.79,3.15,2.57,42750000.0,48300000.0
Brazil,Serie A,2018,2018-04-15,23:00,Atletico-PR,Chapecoense-SC,5,1,H,2.14,3.25,4.02,2.18,3.3,4.15,2.08,3.17,3.72,30050000.0,26850000.0
Brazil,Serie A,2018,2018-04-17,00:00,Botafogo RJ,Palmeiras,1,1,D,3.89,3.37,2.12,3.9,3.38,2.16,3.61,3.23,2.08,27800000.0,79050000.0
Brazil,Serie A,2018,2018-04-17,00:00,Sao Paulo,Parana,1,0,H,1.47,4.35,8.75,1.48,4.5,9.73,1.42,4.19,8.2,57300000.0,13000000.0
Brazil,Serie A,2018,2018-04-21,20:00,Bahia,Santos,1,0,H,2.31,3.27,3.48,2.39,3.27,3.6,2.26,3.12,3.34,28850000.0,51100000.0
Brazil,Serie A,2018,2018-04-21,23:00,Flamengo RJ,America MG,2,0,H,1.45,4.58,8.58,1.46,4.75,10.5,1.41,4.43,8.0,88100000.0,21580000.0
Brazil,Serie A,2018,2018-04-22,15:00,Parana,Corinthians,0,4,A,4.15,2.96,2.24,4.18,3.1,2.24,3.79,2.96,2.16,13000000.0,56950000.0
Brazil,Serie A,2018,2018-04-22,20:00,Atletico-MG,Vitoria,2,1,H,1.56,4.33,6.6,1.59,4.33,7.5,1.54,4.02,6.14,48300000.0,22280000.0
Brazil,Serie A,2018,2018-04-22,20:00,Ceara,Sao Paulo,0,0,D,3.03,3.26,2.58,3.13,3.3,2.58,2.94,3.11,2.47,28550000.0,57300000.0
Brazil,Serie A,2018,2018-04-22,20:00,Chapecoense-SC,Vasco,1,1,D,1.91,3.47,4.69,1.92,3.7,4.81,1.84,3.4,4.43,26850000.0,42750000.0
Brazil,Serie A,2018,2018-04-22,20:00,Fluminense,Cruzeiro,1,0,H,2.71,3.22,2.9,2.76,3.22,2.94,2.61,3.11,2.79,30750000.0,55000000.0
Brazil,Serie A,2018,2018-04-22,20:00,Palmeiras,Internacional,1,0,H,1.63,3.83,6.74,1.64,3.84,7.0,1.6,3.63,6.11,79050000.0,52930000.0
Brazil,Serie A,2018,2018-04-22,23:00,Gremio,Atletico-PR,0,0,D,1.62,3.83,6.88,1.67,3.84,6.88,1.61,3.61,6.08,82200000.0,30050000.0
